The Sword in the Stone,7.1,"Animation, Adventure, Comedy"
Back to the Outback,6.5,"Animation, Adventure, Comedy"
The Secret Life of Pets 2,6.4,"Animation, Adventure, Comedy"
Watership Down,7.6,"Animation, Adventure, Drama"
Bambi,7.3,"Animation, Adventure, Drama"
Fire and Ice,6.5,"Animation, Adventure, Fantasy"
"Katak, the Brave Beluga",5.6,"Animation, Adventure, Comedy"
Fritz the Cat,6.2,"Animation, Comedy, Drama"
Barnyard,5.6,"Animation, Adventure, Comedy"
The Last Unicorn,7.3,"Animation, Adventure, Drama"
The Smurfs 2,5.3,"Animation, Adventure, Comedy"
The Addams Family 2,5.4,"Animation, Adventure, Comedy"
The SpongeBob Movie: Sponge Out of Water,6.0,"Animation, Adventure, Comedy"
Redline,7.5,"Animation, Action, Sci-Fi"
Batman: The Killing Joke,6.4,"Animation, Action, Crime"
Tales from Earthsea,6.3,"Animation, Adventure, Fantasy"
The Garden of Words,7.4,"Animation, Drama, Romance"
Monkeybone,4.8,"Animation, Comedy, Fantasy"
The Witcher: Nightmare of the Wolf,7.2,"Animation, Action, Adventure"
The Curse of the Were-Rabbit,7.5,"Animation, Adventure, Comedy"
Smurfs: The Lost Village,6.0,"Animation, Adventure, Comedy"
Leap!,6.7,"Animation, Adventure, Comedy"
Vampire Hunter D: Bloodlust,7.6,"Animation, Action, Drama"
The Boxtrolls,6.8,"Animation, Adventure, Comedy"
The Tale of The Princess Kaguya,8.0,"Animation, Drama, Family"
Apollo 10½: A Space Age Childhood,7.2,"Animation, Adventure, Drama"
Green Lantern: Beware My Power,6.1,"Animation, Action, Adventure"
Where Is Anne Frank,6.4,"Animation, Drama, Family"
5 Centimeters per Second,7.5,"Animation, Drama, Family"
Sinbad: Legend of the Seven Seas,6.7,"Animation, Adventure, Comedy"
One Piece Film: Red,6.8,"Animation, Action, Adventure"
Porco Rosso,7.7,"Animation, Adventure, Comedy"
Song of the Sea,8.0,"Animation, Adventure, Drama"
Arthur and the Invisibles,6.0,"Animation, Adventure, Comedy"
Thumbelina,6.2,"Animation, Adventure, Family"
ParaNorman,7.0,"Animation, Adventure, Comedy"
Where the Dead Go to Die,3.9,"Animation, Fantasy, Horror"
My Little Pony: The Movie,6.1,"Animation, Adventure, Comedy"
Balto,7.1,"Animation, Adventure, Drama"
Over the Moon,6.3,"Animation, Adventure, Comedy"
The Brave Little Toaster,7.3,"Animation, Adventure, Family"
My Little Pony: A New Generation,6.8,"Animation, Adventure, Comedy"
When Marnie Was There,7.7,"Animation, Drama, Family"
From Up on Poppy Hill,7.4,"Animation, Comedy, Drama"
Charlotte's Web,6.9,"Animation, Adventure, Drama"
The Many Adventures of Winnie the Pooh,7.5,"Animation, Adventure, Comedy"
Rock-A-Doodle,6.0,"Animation, Adventure, Comedy"
Wizards,6.3,"Animation, Adventure, Fantasy"
The Little Prince,7.7,"Animation, Adventure, Drama"
The SpongeBob Movie: Sponge on the Run,5.9,"Animation, Adventure, Comedy"
Abominable,7.0,"Animation, Adventure, Comedy"
Strange Magic,5.7,"Animation, Adventure, Comedy"
Curious George,6.5,"Animation, Adventure, Comedy"
Coonskin,6.4,"Animation, Action, Comedy"
Dumbo,7.2,"Animation, Adventure, Drama"
Spirit Untamed,5.5,"Animation, Adventure, Comedy"
Jimmy Neutron: Boy Genius,6.0,"Animation, Action, Adventure"
Alvin and the Chipmunks: The Road Chip,4.9,"Animation, Adventure, Comedy"
Animal Farm,7.2,"Animation, Drama"
TMNT,6.2,"Animation, Action, Adventure"
G-Force,5.1,"Animation, Action, Adventure"
Trollhunters: Rise of the Titans,6.6,"Animation, Action, Adventure"
Star Wars: The Clone Wars,5.9,"Animation, Action, Adventure"
The Secret of Kells,7.6,"Animation, Adventure, Family"
Peter Pan 2: Return to Never Land,5.8,"Animation, Adventure, Family"
Garfield: A Tail of Two Kitties,5.0,"Animation, Adventure, Comedy"
Mortal Kombat Legends: Snow Blind,6.6,"Animation, Action, Adventure"
My Father's Dragon,6.5,"Animation, Adventure, Comedy"
Batman: Mask of the Phantasm,7.8,"Animation, Action, Adventure"
Legend of the Guardians: The Owls of Ga'Hoole,6.9,"Animation, Action, Adventure"
Home on the Range,5.4,"Animation, Adventure, Comedy"
Pokémon: The First Movie - Mewtwo Strikes Back,6.2,"Animation, Action, Adventure"
Cats Don't Dance,6.9,"Animation, Comedy, Family"
Belladonna of Sadness,7.3,"Animation, Drama, Fantasy"
Ninja Scroll,7.8,"Animation, Action, Adventure"
Persepolis,8.0,"Animation, Biography, Drama"
Little Nemo: Adventures in Slumberland,7.1,"Animation, Adventure, Comedy"
Frankenweenie,6.9,"Animation, Comedy, Drama"
Beavis and Butt-Head Do the Universe,7.0,"Animation, Comedy, Sci-Fi"
Smallfoot,6.6,"Animation, Adventure, Comedy"
Anomalisa,7.2,"Animation, Comedy, Drama"
Quest for Camelot,6.2,"Animation, Adventure, Comedy"
The Pirates! Band of Misfits,6.7,"Animation, Adventure, Comedy"
Stuart Little 2,5.5,"Animation, Adventure, Comedy"
Pom Poko,7.3,"Animation, Comedy, Drama"
The Swan Princess,6.4,"Animation, Adventure, Comedy"
Kingsglaive: Final Fantasy XV,6.7,"Animation, Action, Adventure"
Only Yesterday,7.6,"Animation, Drama, Romance"
Cowboy Bebop: The Movie,7.8,"Animation, Action, Crime"
The Ant Bully,5.8,"Animation, Adventure, Comedy"
Fireheart,6.2,"Animation, Adventure, Comedy"
A Whisker Away,6.7,"Animation, Adventure, Drama"
My Hero Academia: World Heroes' Mission,7.1,"Animation, Action, Adventure"
Extinct,5.5,"Animation, Adventure, Comedy"
Planes: Fire & Rescue,5.9,"Animation, Adventure, Comedy"
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,6.7,"Animation, Action, Adventure"
Alvin and the Chipmunks: Chipwrecked,4.3,"Animation, Adventure, Comedy"
The Transformers: The Movie,7.2,"Animation, Action, Adventure"
Planet 51,6.0,"Animation, Adventure, Comedy"
"Batman: The Long Halloween, Part One",7.2,"Animation, Action, Crime"
The Breadwinner,7.7,"Animation, Drama, Family"
Chickenhare and the Hamster of Darkness,6.3,"Animation, Adventure, Comedy"
Wicked City,6.7,"Animation, Action, Fantasy"
The Wild,5.2,"Animation, Adventure, Comedy"
Missing Link,6.7,"Animation, Adventure, Comedy"
Evangelion: 3.0+1.01 Thrice Upon a Time,8.0,"Animation, Action, Drama"
The Triplets of Belleville,7.7,"Animation, Adventure, Comedy"
A Christmas Carol,6.8,"Animation, Adventure, Comedy"
Final Fantasy: The Spirits Within,6.4,"Animation, Action, Adventure"
Rock Dog,5.9,"Animation, Adventure, Comedy"
Foodfight!,1.3,"Animation, Action, Adventure"
We're Back! A Dinosaur's Story,6.0,"Animation, Adventure, Comedy"
Animal Crackers,5.8,"Animation, Adventure, Comedy"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,6.8,"Animation, Action, Adventure"
Wolf Children,8.1,"Animation, Drama, Family"
The Willoughbys,6.3,"Animation, Adventure, Comedy"
Hoodwinked Too! Hood vs. Evil,4.7,"Animation, Adventure, Comedy"
Gantz: O,7.1,"Animation, Action, Drama"
Rise of the Teenage Mutant Ninja Turtles: The Movie,6.0,"Animation, Action, Adventure"
Attack on Titan: Chronicle,8.5,"Animation, Action, Adventure"
The Peanuts Movie,7.0,"Animation, Adventure, Comedy"
Vampire Hunter D,7.1,"Animation, Action, Fantasy"
Marmaduke,3.1,"Animation, Adventure, Comedy"
Drifting Home,6.2,"Animation, Adventure, Drama"
Blaze,6.1,"Animation, Crime, Drama"
Tom and Jerry: The Movie,5.4,"Animation, Adventure, Comedy"
The Last: Naruto the Movie,7.6,"Animation, Action, Adventure"
America: The Motion Picture,5.6,"Animation, Action, Adventure"
"Blind Willow, Sleeping Woman",7.1,"Animation, Drama, Sci-Fi"
Tarzan,4.8,"Animation, Action, Adventure"
Bubble,6.3,"Animation, Action, Adventure"
Teen Titans GO! To the Movies,6.7,"Animation, Action, Adventure"
Tad the Lost Explorer and the Emerald Tablet,6.0,"Animation, Adventure, Comedy"
Yellow Submarine,7.4,"Animation, Adventure, Comedy"
An American Tail: Fievel Goes West,6.4,"Animation, Adventure, Family"
UglyDolls,5.1,"Animation, Adventure, Comedy"
To the Forest of Firefly Lights,7.8,"Animation, Drama, Fantasy"
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,8.8,"Animation, Action, Fantasy"
Happy Feet Two,5.8,"Animation, Adventure, Comedy"
Deep Sea,7.3,Animation
Sherlock Gnomes,5.2,"Animation, Adventure, Comedy"
Trouble,5.8,"Animation, Adventure, Comedy"
Evil Toons,4.1,"Animation, Comedy, Horror"
Secret of the Wings,7.0,"Animation, Family, Fantasy"
I Lost My Body,7.5,"Animation, Drama, Fantasy"
Justice League vs the Fatal Five,6.5,"Animation, Action, Fantasy"
Charming,5.6,"Animation, Adventure, Comedy"
The Rugrats Movie,5.9,"Animation, Adventure, Comedy"
Violet Evergarden: The Movie,8.3,"Animation, Drama, Fantasy"
Mars Needs Moms,5.4,"Animation, Action, Adventure"
Bigfoot Family,5.8,"Animation, Adventure, Family"
Batman: The Long Halloween,7.6,"Animation, Action, Crime"
Dragon Rider,5.7,"Animation, Adventure, Comedy"
Midori,6.5,"Animation, Drama, Horror"
Steven Universe: The Movie,7.7,"Animation, Action, Adventure"
The Congress,6.4,"Animation, Drama, Sci-Fi"
The Tale of Despereaux,6.1,"Animation, Adventure, Comedy"
The Quintessential Quintuplets Movie,7.3,"Animation, Comedy, Drama"
Tokyo Godfathers,7.8,"Animation, Adventure, Comedy"
Dragon Ball Super: Broly,7.7,"Animation, Action, Adventure"
Diary of a Wimpy Kid,5.1,"Animation, Comedy, Drama"
Five Nights at Freddy's 4,7.1,"Animation, Horror"
Escape from Planet Earth,5.8,"Animation, Adventure, Comedy"
Middle School: The Worst Years of My Life,6.1,"Animation, Comedy, Family"
Rock Dog 3: Battle the Beat,6.1,"Animation, Adventure, Comedy"
Barefoot Gen,8.0,"Animation, Biography, Drama"
The Red Turtle,7.5,"Animation, Drama, Family"
Heavy Metal 2000,5.4,"Animation, Action, Adventure"
Magnetic Rose,8.2,"Animation, Drama, Horror"
Lupin III: The Castle of Cagliostro,7.6,"Animation, Action, Adventure"
The Adventures of Rocky & Bullwinkle,4.3,"Animation, Adventure, Comedy"
Justice Society: World War II,6.4,"Animation, Action, Adventure"
Millennium Actress,7.8,"Animation, Drama, Fantasy"
Batman and Harley Quinn,5.9,"Animation, Action, Adventure"
Once Upon a Forest,6.4,"Animation, Adventure, Drama"
Shaun the Sheep Movie,7.3,"Animation, Adventure, Comedy"
When the Wind Blows,7.7,"Animation, Drama, War"
Catwoman: Hunted,5.6,"Animation, Action, Crime"
The Jungle Book 2,5.3,"Animation, Adventure, Comedy"
The Girl Who Leapt Through Time,7.7,"Animation, Adventure, Comedy"
Diary of a Wimpy Kid: Rodrick Rules,5.1,"Animation, Comedy, Drama"
Mortal Kombat Legends: Scorpion's Revenge,7.4,"Animation, Action, Adventure"
Final Fantasy VII: Advent Children,7.2,"Animation, Action, Adventure"
Riverdance: The Animated Adventure,5.5,"Animation, Adventure, Comedy"
Scrooge: A Christmas Carol,6.2,"Animation, Adventure, Comedy"
Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,8.5,"Animation, Action, Fantasy"
"Batman: The Long Halloween, Part Two",7.2,"Animation, Action, Crime"
Street Fighter II: The Animated Movie,7.2,"Animation, Action, Adventure"
Batman: Gotham by Gaslight,6.7,"Animation, Action, Adventure"
The Thief and the Cobbler,7.1,"Animation, Action, Adventure"
A Shaun the Sheep Movie: Farmageddon,6.8,"Animation, Adventure, Comedy"
Berserk: The Golden Age Arc I - The Egg of the King,7.5,"Animation, Action, Adventure"
Seal Team,5.6,"Animation, Action, Comedy"
Inu-oh,7.2,"Animation, Drama, Fantasy"
Rugrats in Paris,6.1,"Animation, Adventure, Comedy"
The Soccer Football Movie,3.1,"Animation, Comedy, Family"
Next Gen,6.6,"Animation, Action, Adventure"
